player_id;player_name;team_id;position;matches_played;matches_started;minutes_played;goals;assists;shots;shots_on_target;yellow_cards;red_cards;penalty_goals;own_goals;clean_sheets;saves;goals_conceded;;average_rating
1016;Ali Hasan Mohammad;40;DEF;1;0;5;0;0;;;0;0;0;0;;;;;
1017;Mousa Musallam Abdallah Nasib;40;DEF;3;3;261;0;0;0;;0;0;0;0;;;;;6.37
1018;Ali Mohammad Husam Abudahab;40;DEF;2;2;180;0;0;0;;1;0;0;0;;;;;6.35
1019;Mousa Mahmoud Yazan Alarab;40;DEF;3;3;270;0;0;0;;1;0;0;1;;;;;6.03
1020;Rasem Adel Amer Jamous;40;MID;1;0;14;0;0;0;;0;0;0;0;;;;;6.4
1021;Faisal Yousef Mohammad;40;FWD;2;0;2;0;0;0;;1;0;0;0;;;;;6.35
1022;Mahmoud Ali Noor Alrawabdeh;40;MID;3;3;270;0;1;1;;0;0;0;0;;;;;6.63
1023;Iyad Ali Ali Olwan;40;FWD;3;3;270;1;0;6;;0;0;0;0;;;;;6.87
1024;Mohammad Mousa Mousa Altamari;40;FWD;3;2;216;1;1;8;;0;0;0;0;;;;;6.93
1025;Burhan Shehadeh Odeh Fakhoury;40;FWD;0;0;0;;;;;;;0;0;;;;;
1026;Zaid Khaleel Nour Baniateyah;40;GK;0;0;0;;;;;;;0;0;0;0;0;;
1027;Nayef Ahmad Mahmoud Almardi;40;FWD;3;1;128;0;0;1;;0;0;0;0;;;;;6.6
1028;Ayed Fadel Rajaei Ayed;40;MID;0;0;0;;;;;;;0;0;;;;;
1029;Mohammad Sami Ibrahim;40;MID;0;0;0;;;;;;;0;0;;;;;
1030;Majed Jamil Mohammad Abualnadi;40;DEF;1;1;72;0;0;;;0;0;0;0;;;;;
1031;Amer Saleem Saleem;40;DEF;3;0;20;0;0;0;;0;0;0;0;;;;;5.8
1032;Ahmed Mohammad Mohammad;40;MID;0;0;0;;;;;;;0;0;;;;;
1033;Ahmad Salameh Saed;40;DEF;1;0;9;0;0;;;0;0;0;0;;;;;
1034;Mahmoud Saleh Mohannad Abutaha;40;MID;3;3;265;0;0;1;;1;0;0;0;;;;;6.63
1035;Mahmoud Ahmed Nizar Alrashdan;40;MID;3;3;256;1;0;2;;0;0;0;0;;;;;6.57
1036;Ra'ed Mahmoud Abdallah Alfakhori;40;GK;3;2;149;0;0;0;;0;0;0;0;0;7;6;;6.37
1037;Manel Farhan Ehsan Haddad;40;DEF;3;3;262;0;1;1;;0;0;0;0;;;;;6.43
1038;Ahmad Ali Ali Azaizeh;40;FWD;3;1;53;0;0;2;;0;0;0;0;;;;;6.7
1039;Ratib Mohammad Mohammad Aldaoud;40;MID;1;0;2;0;0;0;;0;0;0;0;;;;;0
1040;Said Ghazi Anas Badawi;40;DEF;0;0;0;;;;;;;0;0;;;;;
1041;Diogo Diogo Costa;41;GK;5;5;450;0;0;0;;0;0;0;0;2;23;3;;7.46
1042;SEMEDONŽlson Nelson;41;DEF;4;0;123;0;0;0;;1;0;0;0;;;;;6.55
1043;Rœben Ruben Dias;41;DEF;4;4;360;0;0;0;;1;0;0;0;;;;;7.25
1044;Tom‡s Tomas Araujo;41;DEF;1;1;90;0;0;0;;1;0;0;0;;;;;6.9
1045;Diogo Diogo Dalot;41;DEF;2;0;63;0;0;1;;0;0;0;0;;;;;6.85
1046;Luiz Matheus;41;MID;1;0;1;0;0;0;;0;0;0;0;;;;;0
1047;Ronaldo Cristiano Ronaldo;41;FWD;5;5;441;3;0;18;;0;0;1;0;;;;;7.02
1048;Miguel Bruno;41;MID;5;5;423;0;1;;;0;0;0;0;;;;;
1049;RAMOSGonalo Goncalo;41;FWD;2;0;34;1;0;;;0;0;0;0;;;;;
1050;Bernardo Bernardo Silva;41;MID;4;1;95;0;0;1;;2;0;0;0;;;;;6.38
1051;Jo‹o Joao Felix;41;FWD;3;3;204;0;0;6;;0;0;0;0;;;;;6.67
1052;Pedro Jose Sa;41;GK;0;0;0;;;;;;;0;0;0;0;0;;
1053;Renato Renato Veiga;41;DEF;5;5;450;0;0;2;;2;0;0;0;;;;;7.18
1054;Gonalo Goncalo Inacio;41;DEF;0;0;0;;;;;;;0;0;;;;;
1055;Pedro Joao Neves;41;MID;5;4;390;1;0;3;;0;0;0;0;;;;;7.14
1056;Ant—nio Francisco Trincao;41;FWD;1;0;27;0;0;1;;0;0;0;0;;;;;6.3
1057;Alexandre Rafael Leao;41;FWD;5;1;154;1;1;4;;0;0;0;0;;;;;6.88
1058;Pedro Pedro Neto;41;FWD;5;5;354;0;1;1;;0;0;0;0;;;;;6.84
1059;Manuel Goncalo;41;FWD;0;0;0;;;;;;;0;0;;;;;
1060;Pedro Joao Cancelo;41;DEF;5;5;316;0;1;3;;0;0;0;0;;;;;6.9
1061;Diogo Ruben;41;MID;2;1;55;0;0;;;0;0;0;0;;;;;
1062;Tiago Rui Silva;41;GK;0;0;0;;;;;;;0;0;0;0;0;;
1063;Vitor Vitinha;41;MID;5;5;381;0;1;4;;0;0;0;0;;;;;7.3
1064;Samuel Samu Costa;41;DEF;1;0;20;0;0;0;;0;0;0;0;;;;;7
1065;Alexandre Nuno;41;DEF;5;5;398;1;0;1;;0;0;0;0;;;;;6.84
1066;Francisco Francisco Conceicao;41;FWD;4;0;122;0;0;2;;0;0;0;0;;;;;6.8
1067;Lionel Nzau Mpasi;42;GK;4;4;360;0;0;0;;0;0;0;0;0;12;5;;6.83
1068;Wan Wan-Bissaka;42;DEF;4;4;355;0;0;0;;0;0;0;0;;;;;7
1069;Steve Nkanu Kapuadi;42;DEF;2;2;180;0;0;1;;0;0;0;0;;;;;6.35
